StartTime,Proto,SrcAddr,Sport,DstAddr,Dport,TotPkts,TotBytes,State,Label
83199,308013,192.168.0.13,rtsp,222.39.148.155,4518,1,102,ACC,Malicious
83199,308155,192.168.0.13,rtsp,222.197.178.182,5892,1,106,ACC,Malicious
83199,309110,222.89.11.169,6084,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,309229,222.130.107.208,6545,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,309512,192.168.0.13,rtsp,222.90.56.112,supfi*,1,102,ACC,Malicious
83199,309634,192.168.0.13,rtsp,222.182.132.47,3094,1,106,ACC,Malicious
83199,310769,192.168.0.13,rtsp,222.25.5.240,3676,1,106,ACC,Malicious
83199,311359,222.43.10.118,8163,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,311477,222.192.125.107,4253,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,315143,222.53.251.109,6219,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,315227,222.190.175.235,6199,192.168.0.13,rtsp,1,98,REQ,Malicious
83199,315304,222.242.46.226,3909,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,317501,222.73.146.38,4672,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,317579,222.68.14.113,7636,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,317667,222.160.89.49,1354,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,319707,222.243.168.188,8765,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,319786,222.16.150.212,548,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,324132,222.221.103.29,471,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,324207,222.245.88.163,1653,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,324281,222.127.71.99,8671,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,324356,222.80.57.131,5979,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,327612,222.185.177.152,1535,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,327735,222.83.51.154,4829,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,330568,222.181.68.185,3977,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,330652,222.40.48.164,3393,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,330736,222.39.249.164,3869,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,331718,222.7.250.225,1255,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,331796,222.21.248.252,2681,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,333415,222.15.188.1,8265,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,336312,222.52.253.211,1833,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,336387,222.121.165.16,3603,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,336458,222.246.156.178,5847,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,338638,222.69.159.183,5347,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,338712,222.183.253.50,555,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,340165,222.172.154.58,5937,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,341607,222.57.47.30,475,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,341718,222.35.233.195,8874,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,345613,192.168.0.13,902,192.168.0.23,44144,425,314219,CON,Malicious
83199,346841,222.70.74.247,8972,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,346913,222.194.246.18,1199,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,346987,222.108.208.209,3981,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,347060,222.245.132.201,4343,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,347755,222.89.48.228,4417,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,352594,222.2.230.253,5574,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,355698,222.162.97.35,385,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,355774,222.12.241.137,4267,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,355846,222.95.10.54,6833,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,355920,222.225.90.91,3666,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,355992,222.240.227.180,2637,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,356066,222.86.237.60,2017,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,356140,222.110.157.151,3574,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,357970,222.49.96.148,7127,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,358045,222.67.204.233,5079,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,360704,222.8.170.41,6388,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,363157,222.251.174.254,3341,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,363235,222.179.58.83,6634,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,366880,222.19.33.20,1621,192.168.0.13,rtsp,1,98,REQ,Malicious
83199,366956,222.116.118.140,3865,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,367028,222.80.73.86,4891,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,367100,222.30.0.175,1007,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,369301,222.90.207.42,4995,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,369377,222.252.153.196,7989,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,375726,222.0.175.184,6799,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,375807,222.95.157.35,225,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,375880,222.98.255.71,8624,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,375953,222.248.47.129,5297,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,376025,222.225.7.16,1614,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,376099,222.237.179.74,5617,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,377132,222.172.213.81,3243,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,377205,222.111.157.19,4444,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,380088,222.95.156.105,3259,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,380167,222.254.28.213,4003,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,380240,222.247.41.174,1642,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,382877,222.82.51.180,5335,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,385297,222.3.35.21,afmba*,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,385373,222.198.19.161,5441,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,385445,222.52.31.174,2195,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,385517,222.193.79.145,6196,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,387710,222.75.38.53,2808,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,387790,222.41.29.224,5226,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,389067,222.17.72.35,5327,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,389982,222.143.180.64,5322,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,391974,222.202.235.104,471,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,392048,222.211.148.181,6684,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,393933,222.167.226.222,1218,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,397947,222.30.228.43,1728,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,398026,222.218.5.193,3635,192.168.0.13,rtsp,1,98,REQ,Malicious
83199,398100,222.152.167.225,5654,192.168.0.13,rtsp,1,98,REQ,Malicious
83199,398175,222.140.235.182,6238,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,398965,222.82.0.152,ircs-u,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,400402,222.131.192.113,872,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,403401,222.36.33.33,5,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,403479,222.56.81.3,7492,192.168.0.13,rtsp,2,200,ACC,Malicious
83199,403555,222.205.206.247,7879,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,404289,222.63.18.76,1764,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,406023,222.16.147.86,4041,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,410160,222.129.8.194,3422,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,410239,222.32.43.96,3653,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,415210,222.176.129.134,8692,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,415290,222.4.214.213,3644,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,415366,222.80.237.139,2278,192.168.0.13,rtsp,3,302,ACC,Malicious
83199,415443,222.248.236.30,7919,192.168.0.13,rtsp,3,302,ACC,Malicious
83199,415515,222.213.173.81,4915,192.168.0.13,rtsp,3,302,ACC,Malicious
83199,415586,222.57.128.142,3892,192.168.0.13,rtsp,3,302,ACC,Malicious
83199,415671,222.114.152.106,1582,192.168.0.13,rtsp,3,310,ACC,Malicious
83199,416371,222.206.85.6,2367,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,418114,222.229.60.97,1585,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,418189,222.123.87.140,5901,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,419892,222.51.69.65,5019,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,421443,222.156.231.160,6279,192.168.0.13,rtsp,2,208,ACC,Malicious
83199,422701,222.105.215.144,6996,192.168.0.13,rtsp,2,204,ACC,Malicious
83199,422777,222.200.219.82,2716,192.168.0.13,rtsp,2,204,ACC,Malicious
